,detail
244,میدان فردوسی به طرف شرق خیابان امیرسلیمانی خیابان مهنا پلاک2، کافه شانیا
245,یوسف آباد ، خیابان اسدآبادی، خیابان هجدهم، پلاک33
246,زعفرانیه، آصف، انتهای کوچه حامد، نبش باغستان ششم
247,مطهری- خیابان قائم مقام فراهانی- ابتدای خیابان مشاهیر- پلاک 14
248,ولنجک ،بلوار دانشجو،خیابان گلریزان، بالاتر از میدان گلریزان
249,میدان ولیعصر، ضلع شمال شرقی میدان، جنب بانک سپه
250,یوسف آباد، خیابان اسد آبادی بین 19 و 21
251,کریم خان زند، خیابان آبان جنوبی، پلاک 38، طبقه همکف
252,فرشته، خیابان مریم شرقی، خیابان امین، مجتمع smp
253,خیابان شریعتی، دوراهی قلهک، خیابان بصیری، پلاک 19
254,سهروردی شمالی، پایین‌تر از بهشتی، خیابان میرزای زینالی، پلاک ۴۲
255,کریمخان- خیابان سنایی- خیابان 18- پلاک28
256,خیابان ظفر شرقی، خیابان فرید افشار، بلوار آرش شرقی، پلاک ۴۴
257,میدان انقلاب، ابتدای کارگرشمالی، کوچه مجد، پلاک 12
258,کریمخان،ابتدای خیابان ماهشهر،پلاک ۱۱۸
259,فرمانیه، خیابان لواسانی، مابین آقایی و وطن پور، پلاک 152
260,خيابان مطهري،خيابان لارستان،نبش كوچه پور فلاح
261,شهرک غرب، بلوار دریا، خیابان گلها، نبش توحید 3،پلاک 10
262,نیاوران بین پمپ بنزین و جماران نبش کوچه ستایش
263,خیابان پاسداران ، بین گلستان 8و9
264,شهرك غرب،خيابان ايران زمين شمالى،رو به روى بيمارستان بهمن،جنب فرهنگسراى ابن سينا
265,جردن، ناهید غربی، پلاک 14/1
266,خیابان فداییان اسلام صدمتر مانده به میدان اصلی شهرری
267,خیابان یوسف آباد ، بین خیابان 62 و 64
268,گیشا، انتهای علیایی غربی، دست راست جوادی،پلاک 55
269,انتهاى همت غرب ابتداى اتوبان خرازى خروجى درياچه ميدان موج خيابان موج،بلوار صدف،مجموعه تجارى بام لند
270,تجریش ، بلوار شهرداری،کوچه زعیم ، بازار قائم ، طبقه پنجم ، پلاک 2176
271,خيابان يوسف اباد نبش كوچه ١٢ پلاك ١٢٢ ، طبقه ٥
272,يوسف اباد خيابان ٦٤ بعد از پل كردستان مجتمع asp واحد تجاري ١٠
273,تهرانپارس،خیابان ۱۸۲شرقی،نرسیده به ۱۳۱
274,نياوران،بعد از سه راه ياسر به سمت تجريش، پلاك250
275,باغ کتاب تهران، طبقه دوم
276,خیابان پاسداران، بین نگارستان نهم و دهم
277,خیابان سهروردی شمالی، بالاتر از خیابان آپادانا، نبش خیابان توپچی، شماره 655
278,خیابان سهروردی شمالی، خیابان خرمشهر(آپادانا)، پلاک 172
279,اختیاریه جنوبی،روبه روی بوستان 22 بهمن
280,فلسطین شمالی،نرسیده به بلوار کشاورز،پلاک431
281,انقلاب،فخررازی،پلاک۳۷
282,شیخ فضل الله جنوب،خیابان سازمان آب،بعد از چهارراه اول، روبروی پارک شاهین
283,میدان نیاوران(باهنر) ، ضلع شمالی
284,گاندی جنوبی، مرکز‌ خرید گاندی ، پلاک‌۱۶
285,جردن،کوچه یزدان پناه،نبش دبیر
286,"‏‎ميدان ونک، ابتدای خیابان ونک, پلاک 3"
287,فرشته، مريم غربي،كوئين سنتر
288,خیابان کریمخان،به سمت میدان ولیعصر،بن بست شاهد
289,بلوار سعادت آباد،نبش کوچه حق طلب،ساختمان تهران پاریس
290,‏‎جنت آباد مركزي،روبروي برج طوبي
291,"پاسداران، خیابان ناطق نوری، میدان‌قبا، ضلع
شمالی ساختمان فرهنگسرا، جنب‌پارک زمرد"
292,کنارگذر کریمخان(به سمت هفت‌تیر)٫ بین قرنی و ایرانشهر٫ پلاک۱۹۰
293,برج آ اس پ،راهروی طبقه همکف،پلاک66
294,خيابان حافظ،نرسيده به بازار موبايل ايران،پلاك ١٧٠و١٧٢
295,سعادت آباد،علامه جنوبی،٣٨غربي نبی اکرم،نبش۴۰ غربی،پلاك۱
296,شهرک غرب،بام پاساژ میلادنور،طبقه6،پلاک29
297,خیابان اشرفی‌اصفهانی، خیابان پیامبر‌شرقی، پلاک ۴۷
298,بزرگراه شهید چمران،تقاطع یادگار امام،هتل پارسیلن اوین
299,چهارراه سرسبز ، خیابان آیت شمالی ، پلاک 856
300,شهرک غرب،بلوارفرحزادی،بلوار نورانی،پلاک52
301,خردمند شمالی،کوچه دهم،پلاک ۹
302,دزاشیب،نجابت جو،نرسیده به نیاوران،پلاک 16
303,سعادت آباد،پایین تر از میدان بهرود،جنب مرکز خرید پرواز
304,میدان هفت حوض، خ آیت شمالی، مجتمع تجاری امرالد استار، طبقه دوم
305,خیابان ايرانشهر، خیابان آذرشهر، پلاک ۲۸
306,زعفرانيه، انتهاي ماكويي پور شمالي، كوچه مسجد
307,پاسداران، تقاطع گیلان و فرخی‌یزدی‌
308,فیشرآباد(قرنی)،نبش خسرو(دهقانی‌نیا)
309,میدان ولیعصر، هتل آرامیس، روف روتالانژ
310,میدان هفت تیر،هتل مروارید
311,نیاوران،خیابان پور ابتهاج،خیابان خداوردی،کوچه آراسته،پلاک19
312,خیابان کریمخان،خیابان سنائی،پلاک50
313,ونک ، ابتدای خیابان ملاصدرا ،خیابان پردیس، شماره19
314,پونک، اشرفی اصفهانی جنوب، ورودی آبشناسان غرب، طبقه بالای سرزمین سوخاری
315,ملاصدرا، شیخ بهایی جنوبی، برزیل غربی، پلاک ۱۵۴
316,چهارراه ولیعصر، ضلع شرقی تئاتر شهر، بین رازی و خارک، بن‌ بست انجمن کتاب، پلاک ۱
317,"آیت اله کاشانی( به سمت صادقیه)،بعد از خروجی ستاری جنوب ، بین ابراهیمی و حسن آباد ،
پلاک ۴۳۰"
318,بلوار مرزداران غربی (بين یادگار امام و اشرفي اصفهاني)، بعد از بانك كشاورزي
319,خیابان‌ولیعصر، نرسیده به میدان ولیعصر، نبش خیابان فیروزه
320,امجدیه ، بهارشمالی ، بالاتر از ورزنده ، کوچه مخبرالملک ، پلاک ۴
321,هروی،خیابان ساقدوش،انتهای کوچه عدالت
322,شهرك غرب،بلوار فرحزادى،خيابان عباسى انارى ،پاساژ آريا -واحد ٨ ‏
323,خیابان سپهبد قرنی،کوچه امانی، پلاک ۵
324,‎پاسداران، نبش نیستان دوم
325,"سعادت آباد ، بالاتر از میدان کاج ، خیابان
هشتم(یعقوبی) ، خیابان مجد ، پلاک ۲۲"
326,خیابان شریعتی، بعد از پل صدر، نرسیده به پل رومی، پلاک 1786
327,بلوار کشاورز، خیابان کبکانیان، نبش کوچه ی ۵، پلاک ۱۲
328,پاسداران ، پایدارفرد ، بین بوستان چهارم و پنجم ، پلاک ۱۲
329,"نیاوران، سه راه یاسر، انتهای صادقی قمی،
ابتدای خلیلی ،مجتمع پارسیان جماران، دهکده ایرانی"
330,خیابان کریم خان، خیابان ایرانشهر،کوچه جمیله شیخی ، پلاک ۱۳
331,انقلاب ، خیابان فلسطین ، خیابان لبافی نژاد قبل از ابوریحان،پلاک ۸۵
332,خیابان ولیعصر، روبروی‌پارک ملت، کوچه انصاری،مجاور پارکینگ برج ملت،پلاک ۸۷
333,ضلع غربی میدان هفت‌حوض، کوچه عظیمی‌نیا، پلاک ۲۴
334,خیابان بهار شمالی٫خیابان ورکش٫پلاک۱۷/۱
335,خیابان ولیعصر، نرسیده به پارک وی، خیابان قریشی (تورج)، پلاک 26
336,"ولیعصر نرسیده به پارک وی،نبش کوچه خاکزاد
پلاک ۲۸۴۱"
337,پاسداران، خیابان اسلامی، بین گلستان ۱ و ۲
338,خیابان انقلاب،بین ولیعصر و پل کالج،البرز۲،انتهای بن بست البرز1،جنب دانشگاه هنر و معماری
339,خيابان كريمخان خيابان عضدى ( آبان )جنوبي خيابان شهيد جعفر شهرى تماشاخانه سپند
340,میدان هروی، مجتمع تجاری الماس هروی، طبقه دوم
341,شهرک غرب، پاساژ گلستان، نبش ورودی مهستان
342,خیابان انقلاب،جنب خیابان آذرنوش،پلاک549
343,کریمخان،ایرانشهر،کوچه استاد سمندریان،پلاک ۳۰
344,سهروردی شمالی،بین خیابان بهشتی و مطهری،بین کوچه آزادی و باغ،پلاک ۲۶۴
345,میدان‌درکه،سر میر‌اسماعیلی،پلاک۱
346,شهرك اكباتان،فاز٢،مجتمع تجارى مگامال،تراس طبقه دوم
347,شهرک غرب،مجتمع تجاری پلاتین،طبقه اول
348,فرشته، خیابان آقابزرگی، پلاک 21
349,خيابان بهشتي، بين خيابان انديشه و خيابان داريوش ، پلاك ٩٨
350,نیاوران،مژده. میری،عرفانی،پلاک ۱۷
351,فرشته. بوسنی هرزگوین. مجتمع تجاری مینیاتور. واحد ١
352,‎سعادت آباد، پایین تر از ميدان فرهنگ، پلاك٣٧
353,میدان کوهسار،جاده سولقان،روبه روی سفره خانه ماه عسل
354,‌شهرک غرب،خیابان سپهر،گلبرگ سوم،انتهای کوچه رضایی غربی
355,پاسداران،روبروی بوستان هفتم،مرکزخرید پاسداران واحد۳۳
356,خیابان اسد ابادی،بین کوچه ۱۶ و ۱۸
357,نیاوران،خیابان پور ابتهاج،نبش خیابان محمدی
358,ازگل،انتهاى ١٢ مترى قائم،روبروى برج حيات نو
359,امیر آباد ، نبش کوچه ۱۴، مجتمع تجاری احسان، طبقه یک
360,فرشته، خیابان بوسنی هرزگوین، خیابان دکتر حسابی، پلاک ۱۳/۱
361,خیابان سمیه، تقاطع نجات الهی پلاک 254
362,یادگارامام جنوب،فرحزاد شمالی،رو به روی نمایندگی سایپا پلاک ۲۵
363,ونك،خيابان خدامى،روبروى هتل هما
364,شهرک غرب،بلوار دریا،خیابان رامشه،پلاک ۲۷
365,خیابان انقلاب،زیر پل کالج،کوچه البرز ۲ انتهای البرز ۱ پلاک ۳۲
366,میدان هفت‌تیر، خیابان کریمخان زند، خردمندجنوبی
367,ایران‌مال، طبقه جی ۲، جنب کتابخانه جندی‌شاپور، شبرو بازار
368,میرعماد،کوچه دوم،پلاک22
369,شهرک غرب،میدان صنعت،ابتدای خیابان ایران زمین،پلاک7
370,سعادت آباد، بلوار کوهستان، مرکز تجاری اپال، طبقه دهم
371,میدان هفت تیر،خیابان بهار شیراز،خیابان سلیمان خاطر کوچه گلزار
372,کریمخان‌زند، خردمند جنوبی، بن‌بست وحدتی‌منش،پلاک ۲
373,اندرزگو، نبش علوی پلاک ۲
374,سعادت آباد، بلوار کوهستان، مرکز تجاری اُپال
375,خیابان انقلاب، بعد از دروازه دولت، خیابان رامسر، پلاک ۷
376,شمس آباد،ضلع جنوب شرقی میدان ملت،پلاک745
377,روبروی پارک قیطریه،خیابان حداد،پلاک4
378,خیابان قرنی،نبش کریمخان،هتل بلور،طبقه اول
379,تهرانپارس،حدفاصل فلکه اول و سه راه
380,خیابان فلسطین، خیابان بزرگمهر، خیابان برادران شهید مظفر(صبا)، پلاک ۱۲۵
381,خیابان نوفل لوشاتو، نرسیده به ولیعصر، کاشی 87
382,پاسداران،بوستان دوم،پلاک ۹
383,روبرو پارک نیاوران، داخل فرهنگسرای نیاوران
384,شمال کاخ نیاوران،ابتدای کاشانک،پلاک۳۸۶
385,سی متری نیروهوایی،نبش اقاجانی غربی،پلاک۴۲۴
386,"سعادت آباد,بین میدان کاج و‌میدان فرهنگ،روبروی بیمارستان پارسیان"
