,name_en,name_fa,city_id,price_class
421,anobani,آنوبانی,16,2
422,ebteda_cafe,ابتدا,16,2
423,khaneatlasi,خانه اطلسی,16,2
424,mocafe,مُ,16,2
425,nezamiyeh_boutique_hotel,بوتیک هتل نظامیه,16,2
426,divaa_cafe,دیوا,16,2
427,2shotcafe,توشات,16,2
428,shamsa_house,عمارت شمسا,16,2
429,jayidigarbookcafe,کتاب جایی دیگر,16,2
430,justfresh,جاست فرش,16,2
431,cafetehroonkandovan,تهرون کندوان,16,2
432,mito,میتو,16,2
433,saless_book_cafe,هنر ثالث (ایران مال),16,2
434,sharbatkhaneh_iranmall,شربت خانه,16,2
435,lounge_cinema,سینما لانژ,16,2
436,kavich_andarzgu,کاویچ,16,2
437,cafe_burka,بورکا,16,2
438,vania_pastry_cafe,وانیا,16,2
439,karno_food,کارنو,16,2
440,interni,اینترنی (ولنجک),16,2
441,ketab_niyavaran,کتاب (نیاوران),16,2
442,sambisam,سم بی سم,16,2
443,saraye_arghavan,سرای ارغوان,16,2
444,seen_college,سین (کالج),16,2
445,lotus_restaurant,لوتوس,16,2
446,pegaharthouse,پگاه,16,2
447,cafedaj,داج,16,2
448,nonstop_cafe,نان استاپ,16,2
449,khaneh_nafisa_saadatabad,خانه نفیسا,16,2
450,vahebookcafe,واحه,16,2
451,cafe_clinic,کلینیک,16,2
452,razzaz_boutique,خانه پهلوان رزاز,16,2
453,pera,پرا,16,2
454,osho_cafe,اُشو,16,2
455,tehrooncafe_iranshahr,طهرون (ایرانشهر),16,2
456,hozekashi,حوض کاشی,16,2
457,sinaancafe,سینان,16,2
458,redcafe_takeaway,رد (بال تی),16,2
459,coferesturan_theone,د وان (سعادت آباد),16,2
460,cafelanti,لانتی,16,2
461,diba_mirdamad,دیبا (هتل کوروش),16,2
462,dobarbakery2,دوبار (پارک پرنس),16,2
463,dobarbakery,دوبار(برج آفتاب),16,2
464,alsocafe,آلسو,16,2
465,havaliedelbar,حوالی دلبر,16,2
466,serbon,سربن,16,2
467,hasht_behesht,هشت بهشت,16,2
468,bal_iranmal,بال (ایران مال),16,2
469,bal_jordan,بال (جردن),16,2
470,pets,پت,16,2
471,matsu_lounge,ماتسو لانژ,16,2
472,lamoure_org,لامور,16,2
473,baran_mansion,عمارت باران,16,2
474,roomeroonrestaurant,رومرون,16,2
475,pastofood,پستو (سعادت آباد),16,2
476,paypar_complex,پایپار,16,2
477,houseofcard,برد گیم عمارت فردوس,16,2
478,rischee29,گالری ریشه29,16,2
479,rosettcafe,رزت,16,2
480,chaikenar,چای کنار,16,2
481,garnet,گارنت,16,2
482,cafe_baran1,باران,16,2
483,central_caferestaurant,سنترال,16,2
484,cafe_lyar,لیار,16,2
485,cafe_ceramic,سرامیک موزه,16,2
486,cafe_theatre,تئاتر,16,2
487,cafe_greenbean,گرین بین,16,2
488,pantheon_cafe_resturant,پانتون,16,2
489,cafe__zehn,ذهن,16,2
490,lorenzo_lounge,لورنزو,16,2
491,cafediamond,دایمند,16,2
492,hattrick_cafe,هتریک,16,2
493,cafe_boardica,بوردیکا,16,2
494,fekrkade_complex_opal,فکرکده (اُپال),16,2
495,mysterybox,میستری باکس,16,2
496,pol_art,پل آرت,16,2
497,moon_lightlounge,مون لایت لانژ,16,2
498,cafe_arsh,عرش,16,2
499,royalrosecafe,رویال رز,16,2
500,ravicafegallery,گالری راوی,16,2
501,shar_lounge,شار لانژ,16,2
502,maya_cottage,مایا,16,2
503,schonbrunn,شون برون,16,2
504,amore_cafee,آموره,16,2
505,objet,اُبژه,16,2
506,pensocafe,پنسو,16,2
507,toos_cafe,توسکافه,16,2
508,paprika__house,خانه پاپریکا,16,2
509,marjolainegateau,مارژولن,16,2
510,delpiano_caferestaurant,دل پیانو,16,2
511,novel_cafe_restaurant,نوول,16,2
