,id,Name,Latitude,Longitude
164,164,soofi_shiraz,29.63139603530529,52.49468207359314
165,165,almas_shiraz,29.68027479552527,52.46015736521061
166,166,hajabasali_pesaran,29.63019300466098,52.54658818244934
167,167,shin_shiraz,29.64232061952459,52.47141147514389
168,168,savana_shiraz,29.63092042025619,52.50603318214416
169,169,banan_shiraz,29.61886842495461,52.52679884433746
170,170,screwchis,29.63426657007024,52.53693629276211
171,171,bababastani-niyayesh,29.66616580212285,52.49142050743103
172,172,vital,29.63549928756072,52.47038125991821
173,173,khosha-shiraz,29.73441160297166,52.43906378746033
174,174,haftkhan_shiraz,29.63275758753908,52.55663037300110
175,175,joulep-shieaz,29.61505130949088,52.54567623138428
176,176,caferoyal-shiraz,29.61481113184514,52.54552870988846
177,177,pansion_ketab,29.61921468637110,52.54730600863700
178,178,cafeinn-shiraz,29.67858483939130,52.45579796483870
179,179,street-lounge-shiraz,29.69207447088546,52.46417999267578
180,180,ferdowsi-shiraz,29.62420490139250,52.54014476191500
181,181,shahrekaghazi-shiraz,29.62271368860470,52.51897329965530
182,182,yoga-shiraz,29.62179971764936,52.48360956280521
183,183,chill-shiraz,29.62482349385120,52.52324670052320
184,184,cando-shiraz,29.68950832797490,52.47363647182510
185,185,khanehonar-shiraz,29.63723211015670,52.52222188396680
186,186,bahman-57,29.62664444686381,52.50564157962799
187,187,nagashi,29.62322633543465,52.54146516323089
188,188,hayat,29.63039898943602,52.51036996206494
189,189,geren,29.66612618130941,52.49136686325073
190,190,mahooni,29.62879149081400,52.55698735825717
191,191,patogh-ketab,29.61944651675191,52.52338499575444
192,192,memar,29.63670400317458,52.53358179887982
193,193,hedayat-shiraz,29.62439303458540,52.52386406584520
194,194,lobbylounge_shiraz,29.67755672130814,52.46019624173641
195,195,cafechi_qom,34.63382143861470,50.86849093437195
196,196,firoozeh,34.61447107665699,50.84530055522919
197,197,lamiz-qom,34.74239272977071,50.86744487285614
198,198,barancafe-qom,34.62776818407790,50.86194002589950
199,199,barooncafe-qom,34.61913355097590,50.85655870036460
200,200,zhihat-qom,34.61355939932814,50.84584772586822
201,201,javvafe-qom,34.60941367977332,50.85599184036255
202,202,bahmancafe-qom,34.62173985512479,50.86015462875366
203,203,mazhan_ahvaz,31.35742082373377,48.71974647045135
204,204,pottery,31.35730286602418,48.70781600475311
205,205,noveno_ahvaz,31.34910157937606,48.68017315864563
206,206,sahel_ahvaz,31.29331676566026,48.65693832341833
207,207,rest-ahwaz,31.29899418954470,48.62099558115005
208,208,basil_ahvaz,31.35032019311224,48.69917392730713
209,209,khatere-keramat-icecream,31.30940560000000,48.68577080000000
210,210,famili_ahvaz,31.34438273815209,48.67528080940246
211,211,royalpark,31.34788040000000,48.70535200000000
212,212,da-ahvaz,31.34840693957490,48.69361504912376
213,213,cafedeniz-ahvaz,31.35466080359636,48.68844509124756
214,214,bruja-ahvaz,31.34366343767848,48.67470681667328
215,215,puzzle-ahvaz,31.34361032747569,48.69111883454025
216,216,don-ahvaz,31.35457605480809,48.68609011173248
217,217,gallery28-ahvaz,31.33259376365627,48.66981446743011
218,218,cinema-ahvaz,31.35286800627882,48.68995705323868
219,219,rhino-ahvaz,31.34533568827120,48.68758678436279
220,220,borj-ahvaz,31.33466942673138,48.67538809776306
221,221,kooche-ahvaz,31.34879005152594,48.68668556213379
222,222,laberit5,31.35849200000000,48.71309400000000
223,223,boote,34.08062020000000,49.68126860000000
224,224,amirkhan-arak,34.08487624940886,49.68135058879852
225,225,tishini-arak,34.07496921289569,49.72659140825271
226,226,caracal-arak,34.10302781078448,49.71055984497070
227,227,cinemaasrejadid-arak,34.08565818836489,49.68962788581848
228,228,payiz-arak,34.08232601195350,49.68105554580688
229,229,bernice,36.26607747754687,50.02361655235290
230,230,bamland_diako,36.26427600442358,49.98764812946319
231,231,diocafe-qazvin,36.30543458605477,50.01194491982460
232,232,nozhacafe-qazvin,36.27979801886269,50.00818915665150
233,233,sheed-cafe-qazvin,36.31490902229607,50.03502130508423
234,234,ersie-qazvin,36.26884500000000,50.00019000000000
235,235,karoma-cafe-qazvin,36.28569476254230,50.01067222414510
236,236,negarossaltaneh-qazvin,36.26892684219910,49.99987082998270
237,237,melo,35.71103003312440,51.40699736773968
238,238,honar_cafe,35.70176862018896,51.39896750450134
239,239,shahraan,35.76423710713317,51.28906533122063
240,240,khanehsaboo,35.69859720065121,51.40847861766815
241,241,baharak,35.72033501128514,51.40393495559692
243,243,synod,35.72422850449340,51.43373161554336
244,244,shaniya,35.70012808521338,51.42265902419611
245,245,robaee,35.72722092266432,51.40666155795945
246,246,cafekhamiz,35.80611913097716,51.41420788629239
247,247,harik,35.72402242455890,51.41953401405090
248,248,darya_baz,35.80878005763831,51.39272063970566
249,249,coffemarket,35.71231008026742,51.40742934958860
250,250,nanjam,35.72850968365368,51.40722658501839
251,251,natur,35.71127671027493,51.41268484531537
252,252,number6,35.78632662248370,51.42664924263954
253,253,sweet_angel_pastry,35.76890129960486,51.44132107547895
254,254,royalgalesi,35.72847001451857,51.43984082006555
255,255,idea_cafe,35.71524682209880,51.41782133791303
