,id,Name,Perfect,Good,Ok,Bad,Very Bad
1000,1034,zhowan,57,28,13,10,10
1001,1035,cheese_factory,37,18,10,7,13
1002,1036,behdooneh,0,0,0,0,0
1003,1037,carota,53,24,9,2,5
1004,1038,waffle_plus,3,3,0,0,0
1005,1039,binam,19,14,1,2,8
1006,1040,lidoma_kakh,17,12,10,5,11
1007,1041,kariz_garden,3,5,4,3,2
1008,1042,tabiat-vip,9,11,2,2,1
1009,1043,black_bears,22,10,2,5,5
1010,1044,volga,4,0,0,0,2
1011,1045,viand,10,9,5,1,8
1012,1047,lebiina,24,21,5,5,1
1013,1048,amoobiook_icecream,0,2,0,0,0
1014,1049,gerrdo,29,13,4,3,4
1015,1050,nayrika,9,7,5,2,1
1016,1051,karfe,0,0,0,0,0
1017,1052,behrozan_tehranpars,0,0,0,0,0
1018,1053,river,3,3,0,2,3
1019,1054,pat,1,3,0,0,0
1020,1055,ashvan,6,1,0,1,1
1021,1056,viuna-heravicenter,8,7,3,1,2
1022,1057,viunaexpress_sana,5,1,2,1,1
1023,1058,hes_cafe,42,10,4,2,2
1024,1059,gerand_hayat,34,14,7,4,3
1025,1060,mania,1,0,1,0,2
1026,1061,game-cafe-gik,7,2,1,0,0
1027,1062,rouhi-cafe,56,47,19,3,2
1028,1063,peranah,8,6,2,2,4
1029,1064,persiangalf,4,5,4,0,0
1030,1065,whale,2,1,0,0,0
1031,1066,vozarahotelapartment,2,4,0,0,0
1032,1067,del,2,0,0,2,2
1033,1068,ghasremoj,13,7,3,1,4
1034,1069,yama,2,0,0,0,0
1035,1070,ariana-art-cafe,2,1,2,0,0
1036,1071,otagh_enqelab,25,10,2,0,3
1037,1072,boulevard,15,12,5,2,2
1038,1073,level4,22,21,10,5,7
1039,1074,bookcity,2,3,3,0,1
1040,1075,music,2,0,0,1,0
1041,1076,diplomat,0,0,0,0,0
1042,1077,raees-jam,10,6,0,0,1
1043,1078,lamiz,17,9,2,3,0
1044,1079,linecafe,4,5,0,3,0
1045,1080,opal,2,0,0,0,0
1046,1081,omid,2,1,0,0,0
1047,1082,kariz,30,30,17,4,6
1048,1083,azerbaijan_teahouse,1,2,0,0,0
1049,1084,sub,2,1,0,0,0
1050,1085,golestan1,1,0,0,0,0
1051,1086,bonjour-cafe,12,5,5,3,3
1052,1087,veis-cafe,13,7,5,1,1
1053,1088,rumi,24,7,13,5,7
1054,1089,radcafe,17,9,4,4,3
1055,1090,cofeyshe,6,3,0,1,1
1056,1091,icecream-reza,7,6,1,2,3
1057,1092,hessekhob,2,0,0,2,0
1058,1093,lavan,14,10,0,4,2
1059,1094,lalrservice,0,0,1,0,0
1060,1095,container,13,15,3,0,1
1061,1096,mahour2,0,1,2,0,3
1062,1097,saya,2,0,0,2,0
1063,1098,medico,0,0,0,0,0
1064,1099,vivacaffe,2,4,1,2,0
1065,1100,bam,16,8,6,2,6
1066,1101,linette,2,2,0,0,0
1067,1102,melange,3,0,1,0,0
1068,1103,arme,1,2,0,0,0
1069,1104,coffehe-gisha,2,0,0,1,1
1070,1105,ovan,6,2,1,0,0
1071,1106,emaratshahkar,30,22,8,3,8
1072,1107,vcafegholhak,18,18,7,2,4
1073,1108,raees,8,3,0,1,1
1074,1109,tiwan,7,13,4,2,0
1075,1110,derakhtginko,5,8,2,0,0
1076,1111,cake-studiousara,1,1,0,0,1
1077,1112,babylon-bistro,20,8,7,0,1
1078,1113,cavish,12,9,7,1,3
1079,1114,shato,3,2,0,0,1
1080,1115,setras,3,1,0,0,0
1081,1116,russia,52,27,17,2,6
1082,1117,papa-cafe,4,0,0,0,0
1083,1118,hayatshomare65,29,12,9,2,5
1084,1119,golha,1,3,1,0,0
1085,1120,shade,4,2,1,0,1
1086,1121,africa,4,2,0,1,0
1087,1122,agor,40,44,14,3,5
1088,1123,elsasaadatabad,7,8,1,0,3
1089,1124,parchak-cheese-house,9,13,4,4,1
1090,1125,sinama1,4,6,0,0,0
1091,1126,viunacafe,29,20,7,3,2
1092,1127,markof,6,6,3,1,0
1093,1128,sinama,12,24,8,1,3
1094,1129,labkhand1,0,1,1,0,0
1095,1130,upartmaan,18,16,9,2,2
1096,1131,baghmozemoghadam,5,10,3,2,2
1097,1132,emaratrooberoo,4,3,6,4,2
1098,1133,shahnameh,2,3,2,0,2
1099,1134,exit,9,4,2,1,2
1100,1135,loshaneh,4,0,1,0,0
1101,1136,chaibarcafe,23,29,11,3,0
1102,1137,lamizcafe,17,8,1,1,3
1103,1138,amir,16,6,1,1,3
1104,1139,armeniya,6,2,0,0,0
1105,1140,matino,8,3,1,0,1
1106,1141,hotelborjsefid,0,1,3,1,0
1107,1142,rick,3,4,1,1,0
1108,1143,ood,0,1,1,1,0
1109,1144,deno,3,3,4,2,0
1110,1145,mira,7,7,3,1,0
1111,1146,selfi,4,0,1,0,1
1112,1147,manoro,3,8,0,0,0
1113,1148,atigh,0,0,0,0,0
1114,1149,amirchocolate,0,4,4,1,0
