,food_rate,servic_rate,worth,design_rate
828,4.0,4.0,4.0,4.0
829,3.0,3.0,3.0,2.0
830,4.0,4.0,3.0,2.0
831,0.0,0.0,0.0,0.0
832,3.0,2.0,3.0,2.0
833,5.0,4.0,4.0,5.0
834,4.0,4.0,5.0,4.0
835,4.0,3.0,3.0,3.0
836,4.0,4.0,4.0,3.0
837,,,,
838,5.0,4.0,4.0,4.0
839,3.0,3.0,4.0,3.0
840,,,,
841,5.0,5.0,5.0,4.0
842,4.0,4.0,4.0,4.0
843,4.0,4.0,4.0,4.0
844,4.0,4.0,5.0,4.0
845,3.0,3.0,4.0,3.0
846,3.0,1.0,2.0,3.0
847,5.0,3.0,4.0,5.0
848,1.0,1.0,1.0,1.0
849,,,,
850,4.0,4.0,5.0,4.0
851,3.0,3.0,4.0,4.0
852,3.0,3.0,3.0,3.0
853,4.0,4.0,4.0,4.0
854,5.0,5.0,5.0,4.0
855,5.0,4.0,3.0,4.0
856,4.0,4.0,4.0,4.0
857,5.0,4.0,4.0,4.0
858,3.0,4.0,4.0,4.0
859,4.0,4.0,4.0,4.0
860,3.0,3.0,3.0,3.0
861,0.0,0.0,0.0,0.0
862,5.0,5.0,4.0,4.0
863,4.0,4.0,3.0,3.0
864,2.0,2.0,3.0,2.0
865,0.0,0.0,0.0,0.0
866,4.0,3.0,4.0,3.0
867,4.0,3.0,4.0,4.0
868,4.0,3.0,4.0,4.0
869,,,,
870,4.0,4.0,3.0,3.0
871,2.0,2.0,2.0,2.0
872,5.0,4.0,5.0,5.0
873,0.0,0.0,0.0,0.0
874,3.0,4.0,4.0,4.0
875,4.0,3.0,4.0,3.0
876,3.0,4.0,4.0,2.0
877,4.0,4.0,5.0,4.0
878,3.0,4.0,4.0,2.0
879,4.0,5.0,5.0,4.0
880,3.0,3.0,3.0,2.0
881,3.0,3.0,4.0,3.0
882,3.0,4.0,3.0,3.0
883,4.0,4.0,4.0,4.0
884,,,,
885,3.0,3.0,4.0,3.0
886,,,,
887,4.0,4.0,5.0,4.0
888,2.0,2.0,5.0,2.0
889,,,,
890,2.0,2.0,3.0,2.0
891,4.0,4.0,4.0,4.0
892,3.0,5.0,4.0,4.0
893,4.0,4.0,4.0,4.0
894,5.0,5.0,5.0,5.0
895,4.0,4.0,4.0,4.0
896,2.0,4.0,3.0,3.0
897,5.0,4.0,5.0,4.0
898,4.0,4.0,4.0,4.0
899,,,,
900,3.0,3.0,4.0,3.0
901,4.0,4.0,4.0,4.0
902,3.0,3.0,3.0,2.0
903,3.0,3.0,3.0,3.0
